[20/09/2024 13:24:54] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[21/09/2024 13:13:25] --> GM: Odin [268477776], Target: [no-target], Action: [admin_buy], Params: [ 3001] 
[21/09/2024 13:15:16] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[21/09/2024 13:15:18] --> GM: Odin [268477776], Target: [no-target], Action: [admin_move_to], Params: [] 
[21/09/2024 13:15:23] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ tele/towns.htm] 
[21/09/2024 13:15:25] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ tele/towns/aden.htm] 
[21/09/2024 13:15:30] --> GM: Odin [268477776], Target: [no-target], Action: [admin_move_to], Params: [ 146086 26302 -2195] 
[21/09/2024 13:16:36] --> GM: Odin [268477776], Target: [Woodrow], Action: [admin_admin], Params: [] 
[21/09/2024 13:16:37] --> GM: Odin [268477776], Target: [Woodrow], Action: [admin_move_to], Params: [] 
[21/09/2024 13:16:40] --> GM: Odin [268477776], Target: [Woodrow], Action: [admin_help], Params: [ tele/towns.htm] 
[21/09/2024 13:16:41] --> GM: Odin [268477776], Target: [Woodrow], Action: [admin_help], Params: [ tele/towns/giran.htm] 
[21/09/2024 13:16:52] --> GM: Odin [268477776], Target: [Woodrow], Action: [admin_move_to], Params: [ 79768 146559 -3525] 
[21/09/2024 13:17:52] --> GM: Odin [268477776], Target: [Graham], Action: [admin_admin], Params: [] 
[21/09/2024 13:17:54] --> GM: Odin [268477776], Target: [Graham], Action: [admin_move_to], Params: [] 
[21/09/2024 13:17:55] --> GM: Odin [268477776], Target: [Graham], Action: [admin_help], Params: [ tele/towns.htm] 
[21/09/2024 13:17:58] --> GM: Odin [268477776], Target: [Graham], Action: [admin_help], Params: [ tele/towns/gludio.htm] 
[21/09/2024 13:18:00] --> GM: Odin [268477776], Target: [Graham], Action: [admin_move_to], Params: [ -15176 123389 -3112] 
[21/09/2024 13:22:09] --> GM: Odin [268477776], Target: [Simplon], Action: [admin_admin], Params: [] 
[21/09/2024 13:22:10] --> GM: Odin [268477776], Target: [Simplon], Action: [admin_move_to], Params: [] 
[21/09/2024 13:24:30] --> GM: Odin [268477776], Target: [Simplon], Action: [admin_admin], Params: [] 
[21/09/2024 13:24:34] --> GM: Odin [268477776], Target: [Simplon], Action: [admin_admin2], Params: [] 
[21/09/2024 13:24:36] --> GM: Odin [268477776], Target: [Simplon], Action: [admin_show_characters], Params: [ 0] 
[21/09/2024 13:24:37] --> GM: Odin [268477776], Target: [Simplon], Action: [admin_character_info], Params: [ Odin] 
[21/09/2024 13:25:17] --> GM: Odin [268477776], Target: [Odin], Action: [admin_setclass], Params: [] 
[21/09/2024 13:25:33] --> GM: Odin [268477776], Target: [Odin], Action: [admin_setclass], Params: [ 118] 
[21/09/2024 13:25:44] --> GM: Odin [268477776], Target: [Odin], Action: [admin_admin], Params: [] 
[21/09/2024 13:25:57] --> GM: Odin [268477776], Target: [Odin], Action: [admin_admin2], Params: [] 
[21/09/2024 13:25:59] --> GM: Odin [268477776], Target: [Odin], Action: [admin_show_characters], Params: [ 0] 
[21/09/2024 13:26:00] --> GM: Odin [268477776], Target: [Odin], Action: [admin_character_info], Params: [ Odin] 
[21/09/2024 13:26:03] --> GM: Odin [268477776], Target: [Odin], Action: [admin_show_skills], Params: [] 
[21/09/2024 13:26:11] --> GM: Odin [268477776], Target: [Odin], Action: [admin_give_all_skills], Params: [] 
[21/09/2024 13:26:48] --> GM: Odin [268477776], Target: [Odin], Action: [admin_admin], Params: [] 
[21/09/2024 13:27:05] --> GM: Odin [268477776], Target: [Odin], Action: [admin_move_to], Params: [] 
[21/09/2024 13:27:11] --> GM: Odin [268477776], Target: [Odin], Action: [admin_help], Params: [ tele/towns.htm] 
[21/09/2024 13:27:14] --> GM: Odin [268477776], Target: [Odin], Action: [admin_help], Params: [ tele/towns/elven_starting.htm] 
[21/09/2024 13:27:19] --> GM: Odin [268477776], Target: [Odin], Action: [admin_move_to], Params: [ 45873 49288 -3064] 
[21/09/2024 14:00:26] --> GM: Odin [268477776], Target: [no-target], Action: [admin_gmshop], Params: [] 
[21/09/2024 14:00:27] --> GM: Odin [268477776], Target: [no-target], Action: [admin_buy], Params: [ 3001] 
[22/09/2024 13:04:28] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[22/09/2024 13:04:29] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin2], Params: [] 
[22/09/2024 13:04:30] --> GM: Odin [268477776], Target: [no-target], Action: [admin_show_characters], Params: [ 0] 
[22/09/2024 13:04:31] --> GM: Odin [268477776], Target: [no-target], Action: [admin_character_info], Params: [ Archer] 
[22/09/2024 13:04:33] --> GM: Odin [268477776], Target: [no-target], Action: [admin_goto_char_menu], Params: [ Archer] 
[22/09/2024 13:04:39] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin2], Params: [] 
[22/09/2024 13:04:40] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin2], Params: [] 
[22/09/2024 13:04:41] --> GM: Odin [268477776], Target: [no-target], Action: [admin_show_characters], Params: [ 0] 
[22/09/2024 13:04:43] --> GM: Odin [268477776], Target: [no-target], Action: [admin_character_info], Params: [ Archer] 
[22/09/2024 13:04:44] --> GM: Odin [268477776], Target: [Archer], Action: [admin_add_exp_sp_to_character], Params: [] 
[22/09/2024 13:04:47] --> GM: Odin [268477776], Target: [Archer], Action: [admin_set_level], Params: [ 6] 
[22/09/2024 13:05:04] --> GM: Odin [268477776], Target: [Archer], Action: [admin_admin], Params: [] 
[22/09/2024 13:05:53] --> GM: Odin [268477776], Target: [Archer], Action: [admin_admin], Params: [] 
[22/09/2024 13:05:57] --> GM: Odin [268477776], Target: [Archer], Action: [admin_spawn_monster], Params: [] 
[22/09/2024 13:06:02] --> GM: Odin [268477776], Target: [Archer], Action: [admin_admin], Params: [] 
[22/09/2024 13:06:14] --> GM: Odin [268477776], Target: [Archer], Action: [admin_admin2], Params: [] 
[22/09/2024 13:06:20] --> GM: Odin [268477776], Target: [Archer], Action: [admin_admin3], Params: [] 
[22/09/2024 13:06:22] --> GM: Odin [268477776], Target: [Archer], Action: [admin_admin4], Params: [] 
[22/09/2024 13:06:27] --> GM: Odin [268477776], Target: [Archer], Action: [admin_admin], Params: [] 
[22/09/2024 13:06:37] --> GM: Odin [268477776], Target: [Archer], Action: [admin_list_spawns], Params: [] 
[22/09/2024 13:06:50] --> GM: Odin [268477776], Target: [Archer], Action: [admin_admin], Params: [] 
[22/09/2024 13:06:57] --> GM: Odin [268477776], Target: [Archer], Action: [admin_list_spawns], Params: [ 1] 
[22/09/2024 13:07:01] --> GM: Odin [268477776], Target: [Archer], Action: [admin_admin], Params: [] 
[22/09/2024 13:07:04] --> GM: Odin [268477776], Target: [Archer], Action: [admin_list_spawns], Params: [] 
[22/09/2024 13:07:05] --> GM: Odin [268477776], Target: [Archer], Action: [admin_admin], Params: [] 
[22/09/2024 13:07:06] --> GM: Odin [268477776], Target: [Archer], Action: [admin_spawn_monster], Params: [] 
[22/09/2024 13:07:14] --> GM: Odin [268477776], Target: [Archer], Action: [admin_show_npcs], Params: [] 
[22/09/2024 13:07:21] --> GM: Odin [268477776], Target: [Archer], Action: [admin_npc_index], Params: [ M] 
[22/09/2024 13:07:34] --> GM: Odin [268477776], Target: [Archer], Action: [admin_spawn_monster], Params: [ 31760] 
[22/09/2024 13:11:40] --> GM: Odin [268477776], Target: [Miss Queen], Action: [admin_delete], Params: [] 
[22/09/2024 13:19:39] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[22/09/2024 13:19:41] --> GM: Odin [268477776], Target: [no-target], Action: [admin_spawn_monster], Params: [] 
[22/09/2024 13:19:44] --> GM: Odin [268477776], Target: [no-target], Action: [admin_show_npcs], Params: [] 
[22/09/2024 13:19:48] --> GM: Odin [268477776], Target: [no-target], Action: [admin_npc_index], Params: [ M] 
[22/09/2024 13:19:54] --> GM: Odin [268477776], Target: [no-target], Action: [admin_spawn_monster], Params: [ 31760] 
[22/09/2024 13:20:25] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[22/09/2024 13:20:27] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin2], Params: [] 
[22/09/2024 13:20:29] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin2], Params: [] 
[22/09/2024 13:20:31] --> GM: Odin [268477776], Target: [no-target], Action: [admin_show_characters], Params: [ 0] 
[22/09/2024 13:20:32] --> GM: Odin [268477776], Target: [no-target], Action: [admin_character_info], Params: [ Archer] 
[22/09/2024 13:20:34] --> GM: Odin [268477776], Target: [Archer], Action: [admin_recall_char_menu], Params: [ Archer] 
[22/09/2024 13:25:35] --> GM: Odin [268477776], Target: [Archer], Action: [admin_admin2], Params: [] 
[22/09/2024 13:25:37] --> GM: Odin [268477776], Target: [Archer], Action: [admin_admin2], Params: [] 
[22/09/2024 13:25:39] --> GM: Odin [268477776], Target: [Archer], Action: [admin_admin], Params: [] 
[22/09/2024 13:25:40] --> GM: Odin [268477776], Target: [Archer], Action: [admin_spawn_monster], Params: [] 
[22/09/2024 13:25:46] --> GM: Odin [268477776], Target: [Archer], Action: [admin_spawn_monster], Params: [] 
[22/09/2024 13:25:50] --> GM: Odin [268477776], Target: [Archer], Action: [admin_spawn_once], Params: [] 
[22/09/2024 13:26:00] --> GM: Odin [268477776], Target: [Miss Queen], Action: [admin_admin], Params: [] 
[22/09/2024 13:26:03] --> GM: Odin [268477776], Target: [Miss Queen], Action: [admin_spawn_monster], Params: [] 
[22/09/2024 13:26:08] --> GM: Odin [268477776], Target: [Miss Queen], Action: [admin_spawn_once], Params: [ 31760] 
[22/09/2024 13:26:21] --> GM: Odin [268477776], Target: [Miss Queen], Action: [admin_delete], Params: [] 
[22/09/2024 13:26:50] --> GM: Odin [268477776], Target: [no-target], Action: [admin_spawn 31760 1], Params: [] 
[22/09/2024 13:27:10] --> GM: Odin [268477776], Target: [Miss Queen], Action: [admin_delete], Params: [] 
[22/09/2024 13:27:42] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[22/09/2024 13:27:44] --> GM: Odin [268477776], Target: [no-target], Action: [admin_move_to], Params: [] 
[22/09/2024 13:27:45] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ tele/towns.htm] 
[22/09/2024 13:27:47] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ tele/towns/ti_starting.htm] 
[22/09/2024 13:27:48] --> GM: Odin [268477776], Target: [no-target], Action: [admin_move_to], Params: [ -82687 243157 -3734] 
[22/09/2024 13:28:15] --> GM: Odin [268477776], Target: [no-target], Action: [admin_spawn 31760 1], Params: [] 
[22/09/2024 13:28:25] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[22/09/2024 13:28:26] --> GM: Odin [268477776], Target: [no-target], Action: [admin_move_to], Params: [] 
[22/09/2024 13:28:30] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ tele/towns.htm] 
[22/09/2024 13:28:35] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ tele/towns/dwarf_starting.htm] 
[22/09/2024 13:28:42] --> GM: Odin [268477776], Target: [no-target], Action: [admin_move_to], Params: [ 116117 -178532 -954] 
[22/09/2024 13:29:03] --> GM: Odin [268477776], Target: [no-target], Action: [admin_spawn 31760 1], Params: [] 
[22/09/2024 13:29:12] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[22/09/2024 13:29:14] --> GM: Odin [268477776], Target: [no-target], Action: [admin_move_to], Params: [] 
[22/09/2024 13:29:15] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ tele/towns.htm] 
[22/09/2024 13:29:17] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ tele/towns/elven_starting.htm] 
[22/09/2024 13:29:24] --> GM: Odin [268477776], Target: [no-target], Action: [admin_move_to], Params: [ 45873 49288 -3064] 
[22/09/2024 13:29:43] --> GM: Odin [268477776], Target: [no-target], Action: [admin_spawn 31760 1], Params: [] 
[22/09/2024 13:29:54] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[22/09/2024 13:29:56] --> GM: Odin [268477776], Target: [no-target], Action: [admin_move_to], Params: [] 
[22/09/2024 13:30:01] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ tele/towns.htm] 
[22/09/2024 13:30:08] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ tele/towns/orc_starting.htm] 
[22/09/2024 13:30:11] --> GM: Odin [268477776], Target: [no-target], Action: [admin_move_to], Params: [ -44133 -113911 -244] 
[22/09/2024 13:30:38] --> GM: Odin [268477776], Target: [no-target], Action: [admin_spawn 31760 1], Params: [] 
[22/09/2024 17:17:14] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[22/09/2024 17:17:16] --> GM: Odin [268477776], Target: [no-target], Action: [admin_move_to], Params: [] 
[22/09/2024 17:17:17] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[22/09/2024 17:17:18] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin2], Params: [] 
[22/09/2024 17:17:19] --> GM: Odin [268477776], Target: [no-target], Action: [admin_show_characters], Params: [ 0] 
[22/09/2024 17:17:20] --> GM: Odin [268477776], Target: [no-target], Action: [admin_character_info], Params: [ Yokohama] 
[22/09/2024 17:17:21] --> GM: Odin [268477776], Target: [no-target], Action: [admin_goto_char_menu], Params: [ Yokohama] 
[22/09/2024 17:17:41] --> GM: Odin [268477776], Target: [Yokohama], Action: [admin_admin], Params: [] 
[22/09/2024 17:17:46] --> GM: Odin [268477776], Target: [Yokohama], Action: [admin_admin2], Params: [] 
[22/09/2024 17:17:47] --> GM: Odin [268477776], Target: [Yokohama], Action: [admin_show_characters], Params: [ 0] 
[22/09/2024 17:17:48] --> GM: Odin [268477776], Target: [Yokohama], Action: [admin_character_info], Params: [ Yokohama] 
[22/09/2024 17:17:51] --> GM: Odin [268477776], Target: [Yokohama], Action: [admin_edit_character], Params: [] 
[22/09/2024 17:17:55] --> GM: Odin [268477776], Target: [Yokohama], Action: [admin_current_player], Params: [] 
[22/09/2024 17:18:02] --> GM: Odin [268477776], Target: [Yokohama], Action: [admin_show_characters], Params: [ 0] 
[22/09/2024 17:18:04] --> GM: Odin [268477776], Target: [Yokohama], Action: [admin_character_info], Params: [ Yokohama] 
[22/09/2024 17:18:07] --> GM: Odin [268477776], Target: [Yokohama], Action: [admin_admin], Params: [] 
[22/09/2024 17:18:12] --> GM: Odin [268477776], Target: [Yokohama], Action: [admin_admin2], Params: [] 
[22/09/2024 17:18:16] --> GM: Odin [268477776], Target: [Yokohama], Action: [admin_show_characters], Params: [ 0] 
[22/09/2024 17:18:18] --> GM: Odin [268477776], Target: [Yokohama], Action: [admin_character_info], Params: [ Yokohama] 
[22/09/2024 17:18:21] --> GM: Odin [268477776], Target: [Yokohama], Action: [admin_find_account], Params: [ Yokohama] 
[22/09/2024 17:18:25] --> GM: Odin [268477776], Target: [Yokohama], Action: [admin_show_characters], Params: [ 0] 
[22/09/2024 17:18:27] --> GM: Odin [268477776], Target: [Yokohama], Action: [admin_character_info], Params: [ Yokohama] 
[22/09/2024 17:18:43] --> GM: Odin [268477776], Target: [Yokohama], Action: [admin_edit_character], Params: [] 
[22/09/2024 17:18:51] --> GM: Odin [268477776], Target: [Yokohama], Action: [admin_current_player], Params: [] 
[22/09/2024 17:18:52] --> GM: Odin [268477776], Target: [Yokohama], Action: [admin_admin], Params: [] 
[22/09/2024 17:18:55] --> GM: Odin [268477776], Target: [Yokohama], Action: [admin_create_item], Params: [] 
[22/09/2024 17:19:36] --> GM: Odin [268477776], Target: [Yokohama], Action: [admin_create_item], Params: [ 1655 4] 
[22/09/2024 17:21:16] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[22/09/2024 17:21:25] --> GM: Odin [268477776], Target: [no-target], Action: [admin_spawn_monster], Params: [] 
[22/09/2024 17:21:27] --> GM: Odin [268477776], Target: [no-target], Action: [admin_show_npcs], Params: [] 
[22/09/2024 17:21:29] --> GM: Odin [268477776], Target: [no-target], Action: [admin_npc_index], Params: [ T] 
[22/09/2024 17:21:31] --> GM: Odin [268477776], Target: [no-target], Action: [admin_spawn_monster], Params: [ 30556] 
[22/09/2024 17:22:10] --> GM: Odin [268477776], Target: [Toma], Action: [admin_delete], Params: [] 
[22/09/2024 17:23:58] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[22/09/2024 17:23:59] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin2], Params: [] 
[22/09/2024 17:24:00] --> GM: Odin [268477776], Target: [no-target], Action: [admin_show_characters], Params: [ 0] 
[22/09/2024 17:24:02] --> GM: Odin [268477776], Target: [no-target], Action: [admin_character_info], Params: [ Yokohama] 
[22/09/2024 17:24:04] --> GM: Odin [268477776], Target: [Yokohama], Action: [admin_goto_char_menu], Params: [ Yokohama] 
[22/09/2024 17:24:19] --> GM: Odin [268477776], Target: [Yokohama], Action: [admin_admin], Params: [] 
[22/09/2024 17:24:24] --> GM: Odin [268477776], Target: [Yokohama], Action: [admin_create_item], Params: [] 
[22/09/2024 17:24:34] --> GM: Odin [268477776], Target: [Yokohama], Action: [admin_create_item], Params: [ 1656 19] 
[22/09/2024 17:25:50] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[22/09/2024 17:26:01] --> GM: Odin [268477776], Target: [no-target], Action: [admin_spawn_monster], Params: [] 
[22/09/2024 17:26:02] --> GM: Odin [268477776], Target: [no-target], Action: [admin_show_npcs], Params: [] 
[22/09/2024 17:26:04] --> GM: Odin [268477776], Target: [no-target], Action: [admin_npc_index], Params: [ T] 
[22/09/2024 17:26:06] --> GM: Odin [268477776], Target: [no-target], Action: [admin_spawn_monster], Params: [ 30556] 
[22/09/2024 17:26:36] --> GM: Odin [268477776], Target: [Toma], Action: [admin_delete], Params: [] 
[22/09/2024 17:27:02] --> GM: Odin [268477776], Target: [Plunder Tarantula], Action: [admin_admin], Params: [] 
[22/09/2024 17:27:03] --> GM: Odin [268477776], Target: [Plunder Tarantula], Action: [admin_move_to], Params: [] 
[22/09/2024 17:27:04] --> GM: Odin [268477776], Target: [Plunder Tarantula], Action: [admin_help], Params: [ tele/towns.htm] 
[22/09/2024 17:27:05] --> GM: Odin [268477776], Target: [Plunder Tarantula], Action: [admin_help], Params: [ tele/towns/giran.htm] 
[22/09/2024 17:27:06] --> GM: Odin [268477776], Target: [Plunder Tarantula], Action: [admin_move_to], Params: [ 82698 148638 -3473] 
[22/09/2024 17:47:52] --> GM: Odin [268477776], Target: [Ellie], Action: [admin_admin], Params: [] 
[22/09/2024 17:47:55] --> GM: Odin [268477776], Target: [Ellie], Action: [admin_gmshop], Params: [] 
[22/09/2024 17:47:59] --> GM: Odin [268477776], Target: [Ellie], Action: [admin_help], Params: [ gmshop/recipes.htm] 
[22/09/2024 17:48:02] --> GM: Odin [268477776], Target: [Ellie], Action: [admin_buy], Params: [ 30040] 
[22/09/2024 17:48:23] --> GM: Odin [268477776], Target: [Ellie], Action: [admin_admin], Params: [] 
[22/09/2024 17:48:29] --> GM: Odin [268477776], Target: [Ellie], Action: [admin_gmshop], Params: [] 
[22/09/2024 17:48:31] --> GM: Odin [268477776], Target: [Ellie], Action: [admin_help], Params: [ gmshop/recipes.htm] 
[22/09/2024 17:48:32] --> GM: Odin [268477776], Target: [Ellie], Action: [admin_buy], Params: [ 30041] 
[22/09/2024 17:49:06] --> GM: Odin [268477776], Target: [Ellie], Action: [admin_gmshop], Params: [] 
[22/09/2024 17:49:13] --> GM: Odin [268477776], Target: [Ellie], Action: [admin_help], Params: [ gmshop/recipes.htm] 
[22/09/2024 17:49:15] --> GM: Odin [268477776], Target: [Ellie], Action: [admin_buy], Params: [ 30042] 
[22/09/2024 17:49:56] --> GM: Odin [268477776], Target: [Ellie], Action: [admin_admin], Params: [] 
[22/09/2024 17:49:58] --> GM: Odin [268477776], Target: [Ellie], Action: [admin_create_item], Params: [] 
[22/09/2024 17:50:04] --> GM: Odin [268477776], Target: [Odin], Action: [admin_create_item], Params: [ 3953 1] 
[22/09/2024 18:41:35] --> GM: Odin [268477776], Target: [Alexandria], Action: [admin_admin], Params: [] 
[22/09/2024 18:41:36] --> GM: Odin [268477776], Target: [Alexandria], Action: [admin_admin2], Params: [] 
[22/09/2024 18:41:37] --> GM: Odin [268477776], Target: [Alexandria], Action: [admin_show_characters], Params: [ 0] 
[22/09/2024 18:41:38] --> GM: Odin [268477776], Target: [Alexandria], Action: [admin_character_info], Params: [ Platina] 
[22/09/2024 18:41:40] --> GM: Odin [268477776], Target: [Platina], Action: [admin_goto_char_menu], Params: [ Platina] 
[22/09/2024 18:42:21] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin2], Params: [] 
[22/09/2024 18:42:23] --> GM: Odin [268477776], Target: [no-target], Action: [admin_show_characters], Params: [ 0] 
[22/09/2024 18:42:24] --> GM: Odin [268477776], Target: [no-target], Action: [admin_character_info], Params: [ Lindurita] 
[22/09/2024 18:42:25] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_goto_char_menu], Params: [ Lindurita] 
[22/09/2024 19:33:42] --> GM: Odin [268477776], Target: [Yokohama], Action: [admin_admin], Params: [] 
[22/09/2024 19:33:47] --> GM: Odin [268477776], Target: [Yokohama], Action: [admin_create_item], Params: [] 
[22/09/2024 19:34:01] --> GM: Odin [268477776], Target: [Yokohama], Action: [admin_create_item], Params: [ 4255 20] 
[22/09/2024 19:35:02] --> GM: Odin [268477776], Target: [RaquelEugenio], Action: [admin_admin], Params: [] 
[22/09/2024 19:35:03] --> GM: Odin [268477776], Target: [RaquelEugenio], Action: [admin_create_item], Params: [] 
[22/09/2024 19:35:06] --> GM: Odin [268477776], Target: [RaquelEugenio], Action: [admin_create_item], Params: [ 4255] 
[22/09/2024 19:35:15] --> GM: Odin [268477776], Target: [RaquelEugenio], Action: [admin_admin], Params: [] 
[22/09/2024 19:35:17] --> GM: Odin [268477776], Target: [RaquelEugenio], Action: [admin_create_item], Params: [] 
[22/09/2024 19:35:22] --> GM: Odin [268477776], Target: [RaquelEugenio], Action: [admin_create_item], Params: [ 4255 29] 
[22/09/2024 20:01:24] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[22/09/2024 20:01:25] --> GM: Odin [268477776], Target: [no-target], Action: [admin_move_to], Params: [] 
[22/09/2024 20:01:36] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ tele/towns.htm] 
[22/09/2024 20:01:38] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ tele/towns/gludin.htm] 
[22/09/2024 20:01:40] --> GM: Odin [268477776], Target: [no-target], Action: [admin_move_to], Params: [ -83063 150791 -3133] 
[22/09/2024 20:01:48] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[22/09/2024 20:01:52] --> GM: Odin [268477776], Target: [Yokohama], Action: [admin_create_item], Params: [] 
[22/09/2024 20:02:03] --> GM: Odin [268477776], Target: [Yokohama], Action: [admin_create_item], Params: [ 7173 100] 
[22/09/2024 20:02:21] --> GM: Odin [268477776], Target: [RaquelEugenio], Action: [admin_admin], Params: [] 
[22/09/2024 20:02:35] --> GM: Odin [268477776], Target: [RaquelEugenio], Action: [admin_create_item], Params: [] 
[22/09/2024 20:02:41] --> GM: Odin [268477776], Target: [RaquelEugenio], Action: [admin_create_item], Params: [ 7173 98] 
[22/09/2024 22:39:46] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[22/09/2024 22:39:48] --> GM: Odin [268477776], Target: [no-target], Action: [admin_move_to], Params: [] 
[22/09/2024 22:39:52] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[22/09/2024 22:39:53] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin2], Params: [] 
[22/09/2024 22:39:54] --> GM: Odin [268477776], Target: [no-target], Action: [admin_show_characters], Params: [ 0] 
[22/09/2024 22:39:55] --> GM: Odin [268477776], Target: [no-target], Action: [admin_character_info], Params: [ RaquelEugenio] 
[22/09/2024 22:39:56] --> GM: Odin [268477776], Target: [RaquelEugenio], Action: [admin_goto_char_menu], Params: [ RaquelEugenio] 
[22/09/2024 22:40:29] --> GM: Odin [268477776], Target: [RaquelEugenio], Action: [admin_admin], Params: [] 
[22/09/2024 22:40:30] --> GM: Odin [268477776], Target: [RaquelEugenio], Action: [admin_create_item], Params: [] 
[22/09/2024 22:40:39] --> GM: Odin [268477776], Target: [RaquelEugenio], Action: [admin_create_item], Params: [ 7175 44] 
[22/09/2024 22:46:02] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[22/09/2024 22:46:03] --> GM: Odin [268477776], Target: [no-target], Action: [admin_move_to], Params: [] 
[22/09/2024 22:46:05] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ tele/towns.htm] 
[22/09/2024 22:46:08] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ tele/towns/gludin.htm] 
[22/09/2024 22:46:09] --> GM: Odin [268477776], Target: [no-target], Action: [admin_move_to], Params: [ -83063 150791 -3133] 
[22/09/2024 22:50:21] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[22/09/2024 22:50:22] --> GM: Odin [268477776], Target: [no-target], Action: [admin_move_to], Params: [] 
[22/09/2024 22:50:23] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ tele/towns.htm] 
[22/09/2024 22:50:24] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ tele/towns/giran.htm] 
[22/09/2024 22:50:27] --> GM: Odin [268477776], Target: [no-target], Action: [admin_move_to], Params: [ 79681 150641 -3524] 
[23/09/2024 0:27:54] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[23/09/2024 0:27:56] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin2], Params: [] 
[23/09/2024 0:27:57] --> GM: Odin [268477776], Target: [no-target], Action: [admin_show_characters], Params: [ 0] 
[23/09/2024 0:27:58] --> GM: Odin [268477776], Target: [no-target], Action: [admin_character_info], Params: [ Yokohama] 
[23/09/2024 0:27:59] --> GM: Odin [268477776], Target: [Yokohama], Action: [admin_goto_char_menu], Params: [ Yokohama] 
[23/09/2024 0:30:13] --> GM: Odin [268477776], Target: [no-target], Action: [admin_gmshop], Params: [] 
[23/09/2024 0:30:17] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ gmshop/Armors.htm] 
[23/09/2024 0:30:18] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ gmshop/dgradea.htm] 
[23/09/2024 0:30:19] --> GM: Odin [268477776], Target: [no-target], Action: [admin_buy], Params: [ 9091] 
[23/09/2024 0:34:15] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_gmshop], Params: [] 
[23/09/2024 0:34:17] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_help], Params: [ gmshop/recipes.htm] 
[23/09/2024 0:34:18] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_buy], Params: [ 30040] 
[23/09/2024 0:35:53] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_gmshop], Params: [] 
[23/09/2024 0:35:55] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_help], Params: [ gmshop/recipes.htm] 
